N,instance_id,Algorithm,Objective Value,Elapsed time (sec),Status (solution),Iterations
39,1,CPLEX,4249,"72,01",1,1
39,1,Greedy,3916,"0,053",,1
39,1,Greedy + LS,3936,"0,443",,1
39,1,GRASP,4047,"17,533",,100
39,1,GRASP + LS,4038,"28,647",,57
39,2,CPLEX,4362,"10,61",1,1
39,2,Greedy,3990,"0,052",,1
39,2,Greedy + LS,4005,"0,257",,1
39,2,GRASP,4102,"19,156",,107
39,2,GRASP + LS,4176,"59,775",,115
40,1,CPLEX,4470,"864,29",1,1
40,1,Greedy,4284,"0,057",,1
40,1,Greedy + LS,4287,"0,17",,1
40,1,GRASP,4320,"21,159",,110
40,1,GRASP + LS,4364,"60,04",,92
40,2,CPLEX,4514,"33,11",1,1
40,2,Greedy,4099,"0,056",,1
40,2,Greedy + LS,4110,"0,279",,1
40,2,GRASP,4258,"45,972",,113
40,2,GRASP + LS,4247,"60,011",,44
41,1,CPLEX,4894,"34,49",1,1
41,1,Greedy,4461,"0,11",,1
41,1,Greedy + LS,4542,"4,131",,1
41,1,GRASP,4679,"28,609",,60
41,1,GRASP + LS,4694,"60,036",,89
41,2,CPLEX,4755,"291,48",1,1
41,2,Greedy,4561,"0,107",,1
41,2,Greedy + LS,4564,"0,59",,1
41,2,GRASP,4577,"52,687",,118
41,2,GRASP + LS,4568,"60,305",,53
42,1,CPLEX,4858,"1740,48",1,1
42,1,Greedy,4571,"0,123",,1
42,1,Greedy + LS,4574,"0,515",,1
42,1,GRASP,4644,"19,548",,83
42,1,GRASP + LS,4696,"60,004",,97
42,2,CPLEX,4844,"1079,07",1,1
42,2,Greedy,4433,"0,124",,1
42,2,Greedy + LS,4468,"1,25",,1
42,2,GRASP,4607,"49,251",,99
42,2,GRASP + LS,4627,"60,118",,36
43,1,CPLEX,5058,"1800,7",0,1
43,1,Greedy,4804,"0,135",,1
43,1,Greedy + LS,4835,"1,506",,1
43,1,GRASP,4858,"60,287",,109
43,1,GRASP + LS,4872,"60,124",,33
43,2,CPLEX,5274,"509,62",1,1
43,2,Greedy,4786,"0,127",,1
43,2,Greedy + LS,4831,"1,993",,1
43,2,GRASP,4988,"59,894",,105
43,2,GRASP + LS,5002,"60,161",,34
44,1,CPLEX,5489,"232,39",1,1
44,1,Greedy,4973,"0,138",,1
44,1,Greedy + LS,4991,"1,112",,1
44,1,GRASP,5195,"43,661",,73
44,1,GRASP + LS,5200,"60,004",,28
44,2,CPLEX,5589,"1126,3",1,1
44,2,Greedy,5069,"0,138",,1
44,2,Greedy + LS,5087,"1,339",,1
44,2,GRASP,5302,"60,477",,108
44,2,GRASP + LS,5272,"55,31",,67
45,1,CPLEX,5644,"826,28",1,1
45,1,Greedy,5193,"0,149",,1
45,1,Greedy + LS,5201,"0,841",,1
45,1,GRASP,5343,"59,018",,90
45,1,GRASP + LS,5373,"60,05",,47
45,2,CPLEX,5732,"1800,54",0,1
45,2,Greedy,5371,"0,154",,1
45,2,Greedy + LS,5411,"2,069",,1
45,2,GRASP,5465,"60,498",,91
45,2,GRASP + LS,5494,"60,269",,31
48,1,CPLEX,6495,"1800,04",0,1
48,1,Greedy,6053,"0,187",,1
48,1,Greedy + LS,6094,"2,656",,1
48,1,GRASP,6234,"60,503",,68
48,1,GRASP + LS,6254,"60,182",,24
48,2,CPLEX,6442,"1800,02",0,1
48,2,Greedy,5942,"0,2",,1
48,2,Greedy + LS,5976,"2,003",,1
48,2,GRASP,6017,"60,591",,67
48,2,GRASP + LS,5984,"60,03",,22
50,1,CPLEX,6798,"1800,46",0,1
50,1,Greedy,6242,"0,21",,1
50,1,Greedy + LS,6308,"4,421",,1
50,1,GRASP,6518,"60,643",,60
50,1,GRASP + LS,6457,"60,461",,21
50,2,CPLEX,7047,"1800,59",0,1
50,2,Greedy,6590,"0,23",,1
50,2,Greedy + LS,6614,"2,595",,1
50,2,GRASP,6714,"60,334",,56
50,2,GRASP + LS,6710,"60,228",,18
